reason,company,product_descrpition,brand_name,date
"Undeclared soy, anchovy, milk, and/or wheat",Buffalo Trace Distillery,Marinade and Sauces,Buffalo Trace Distillery,03/2013
Undeclared soy,Lisy Corporation,Seasoning blends,Lisy,03/2013
Visible particulates,"Pallimed Solutions, Inc.",Sterile compounded drugs,"Pallimed Solutions, Inc.",03/2013
Spoilage organisms or Pathogens,La Preferida Inc.,Canned Pinto beans,La Preferida,03/2013
Listeria monocytogenes,Publix Super Markets,Fruit and Grain Salad,Publix Deli,03/2013
Undeclared walnuts,Gold Standard Baking,Coffee Cake,Sweet P&#39;s Bake Shop,03/2013
Due To Potential Mold Contamination,"Med Prep Consulting, Inc.",All compounded products,"Med Prep Consulting, Inc.",03/2013
Lack of sterility assurance,Clinical Specialties Compounding Pharmacy,"Acetylcysteine 10% solution, Cyclosporine 1% ophthalmic drops, Dexamethasone NaPo4 12 mg/ml, more",Clinical Specialties,03/2013
Undeclared Soy,"New Chapter, Inc.",Dietary Supplement,New Chapter,03/2013
Undeclared Peanuts,Daesang America Inc.,Soy Bean Paste,Daesang,03/2013
The product has or potentially could result in an infection within the eye,Clinical Specialties,Avastin unit dose syringes,Avastin,03/2013
May contain Salmonella,"Pro-Amino International Inc., Saint-Eustache, Quebec, Canada",High Protein Chocolate Dream Bars,ProtiDiet,03/2013
Salmonella,Natura Pet Products,Pet Food,"California Natural, EVO, Healthwise, Innova",03/2013
DUE TO POTENTIAL MOLD CONTAMINATION,"Med Prep Consulting, Inc.",All compounded products,"Med Prep Consulting, Inc.",03/2013
Contain visible particulate contaminants confirmed to be mold,"Med Prep Consulting, Inc.","MAGNESIUM SULFATE 2GM IN DEXTROSE 5 PERCENT IN WATER, 50 ml FOR INJECTION","Med Prep Consulting, Inc",03/2013
"Pose a slightly increased risk of air leakage that may lead to an air embolism, which could result in serious injury or death","Vascular Solutions Zerusa Ltd subsidiary of Vascular Solutions, Inc.",Hemostasis valves used in catheterization procedures,Guardian II and Guardian II NC,03/2013
Undeclared milk,Nishimoto Trading Co.,Rice Cracker &quot;Kotsubukko&quot;,Kameda,03/2013
Potential to contain metal fragments,"Grippo Foods, Inc",Potato Chips (various flavors),Grippo&#39;s,03/2013
Potential to be contaminated with Salmonella,Bravo!,Chicken Blend-Raw Frozen Food Diet for Dogs and Cats,Bravo!,03/2013
Product contains trace amounts of Sulfohydroxyhomosildenafil and Aminotadalafil.,"Green Planet, Inc.",Dietary supplement,Night Bullet,03/2013
Spoilage organisms or Pathogens,La Preferida Inc.,Canned Pinto beans,La Preferida,03/2013
Low level of thiamine (Vitamin B1),Diamond Pet Foods,Dry Cat Food,"Premium Edge, Diamond Naturals, 4health",03/2013
Can seams do not meet standard,"Tri-Union Seafoods, LLC",Canned tuna,Chicken of the Sea,03/2013
Loose can seals,"Bumble Bee Foods, LLC",Canned tuna,"Bumble Bee, Brunswick",03/2013
Salmonella,Diggin&#39; Your Dog,Pet Treats,Strippin&#39; Chicks,03/2013
Salmonella,Steve&#39;s Real Food,Frozen pet food,Steve&#39;s Real Food,03/2013
Seal quality out of specification,Tri-Union Seafoods LLC,Canned tuna,Chicken of the Sea,03/2013
Loose can seals,"Bumble Bee Foods, LLC",Canned tuna,"Bumble Bee, Brunswick",03/2013
Salmonella,Jones Natural Chews Co,Woofers (beef patties) dog treats,Jones Natural Chews Co,03/2013
"Deficient in vitamin A, D, and E",Cargill,Animal feed,"Cattle Grazers, Right Now, Nutrena",03/2013
Undeclared Almonds,"Food For Life Baking Co., Inc.",Variety of Sprouted Whole Grain Cereals,Food for Life,03/2013
Undeclared Peanuts,"See’s Candies, Inc.",Easter Egg with Walnuts,See&#39;s Candies,02/2013
Salmonella,"United Pet Group, Inc.",Bird Food,"Ultra-Blend Gourmet, eCotrition",02/2013
Potential for abrasion,Ad-Tech Medical Instrument Corporation,Macro Micro Subdural Electrodes,Ad-Tech Medical Instrument Corporation,02/2013
Foreign object,The Kroger Co.,Bread,"Kroger, QFC, Fred Meyer",02/2013
Undeclared sulfites,"Domega NY International Co., Ltd.",White Melon Seeds,Green Day,02/2013
Undeclared wheat and soy,Bruce Foods Corporation,Sauce,Food Club,02/2013
"Serious hypersensitivity reactions, including anaphylaxis","Affymax, Inc. and Takeda Pharmaceutical Company Limited",OMONTYS&amp;reg; (peginesatide) Injection,OMONTYS&amp;reg;,02/2013
Presence of a foreign object,"King Arthur Flour Company, Inc.",Flour,King Arthur Flour,02/2013
Undeclared wheat and soy,Bruce Foods Corporation,Sauce,Food Club,02/2013
Undeclared milk,Herbalife International of America,Nutritional shake,Herbalife,02/2013
Undeclared sulfites,Lion Pavilion Ltd.,Ginger Slices,Grassplot,02/2013
Elevated levels of a chemical contaminant,"Hy-Vee, Inc.",Dog Food,Hy-Vee,02/2013
Metal fragments,Mondelēz Global LLC,Biscuits,BelVita,02/2013
Undeclared Sulfites,Mandy Star Trading Inc.,Preserved fruits,Good Taste,02/2013
Salmonella,Kasel Associated Industries,Dog Treats,"Colorado Natural’s, Boots &amp; Barkley, Nature’s Deli, more",02/2013
Salmonella,The Honest Kitchen,Pet food products,"Verve, Zeal, Thrive",02/2013
Unapproved new drug,Olaax Corporation,Dietary Supplement,Maxiloss Weight Advanced,02/2013
Salmonella,"Nutri-Vet, LLC",Pet Treats,"NutriPet, Nutri-Vet",02/2013
Metal fragments,Heartland Brands,Granola cereal,Heartland,02/2013
Foreign object,"BBU, Inc.",Bread,"Sara Lee, Aldi, Harmons, Arnold, more",02/2013
Salmonella,Kasel Associated Industries,Dog Treats,"Colorado Natural’s, Boots &amp; Barkley, Nature’s Deli, more",02/2013
Salmonella,Kaytee Products,Bird treats,Kaytee,02/2013
Listeria monocytogenes,Goldcoast Salads,"Crab, lobster, tuna, shrimp and salmon spreads",Goldcoast Salads,02/2013
Particulate matter,Gilead Sciences Inc.,cidofovir injection,Vistide,02/2013
Undeclared soy,"DeCoty Coffee Company, Inc.",Taco Seasoning,DeCoty,02/2013
Plastic pieces,Nature&#39;s Variety,Pet food,Instinct® Raw,02/2013
"Tablets contain undeclared active pharmaceutical ingredients: methocarbamol, dexamethasone, and diclofenac","Reumofan Plus USA, LLC  and Reumofan USA, LLC",Tablets,Reumofan Plus,02/2013
Undeclared egg,The Muffin &amp;quot;Mam&amp;quot; Inc.,Cake,The Muffin &quot;Mam&quot;,02/2013
Undeclared milk and soy,"JS Pelmini OK, Inc.",Potato dumplings,JS Pelmini,02/2013
Due to the possible presence of fragments of thin metal wire,Dakota Specialty Milling,Specialty flours and grain blends,Dakota Specialty Milling,02/2013
Undeclared milk,"Associated Milk Producers, Inc.",Pudding,GFS,02/2013
Undeclared sulfites,"Domega NY International CO., LTD",Dried Coconut,Green Day,02/2013
Undeclared sulfites,"DZH Import &amp;amp; Export, Inc.",Dried Mushrooms,Mountains,02/2013
Undeclared sulfites,DZH Import &amp; Export Inc.,Dried Mushrooms,Curiosity of Dashan,02/2013
Glass fragments,Nestle Prepared Foods Company,Ravioli,Lean Cuisine,02/2013
&lt;i&gt;Listeria monocytogenes&lt;/i&gt;,Sprouters Northwest,"Sprout products, wheatgrass and pea shoots","Sprouters Northwest, LifeForce and Brassica",02/2013
Uneviscerated fish,ZIP International Group LLC,Dry salted fish,ZIP International Group,02/2013
Potential to be contaminated with &lt;i&gt;Listeria monocytogenes&lt;/i&gt;,MKG Provisions,Atlantic Smoked Salmon,"UpRiver, Prestige &amp; Legendary",02/2013
Undeclared sulfites,"Domega NY International Co., Ltd.",Dried coconut,Green Day,02/2013
Listeria monocytogenes,Sprouters Northwest,"Sprouts, Wheatgrass, and Pea Shoots",Sprouters Northwest and LifeForce,02/2013
&lt;i&gt;Listeria monocytogenes&lt;/i&gt;,GoldCoast Salads,Blue crab spread,GoldCoast Salads,02/2013
Potential of a reverse in the air/oxygen mixer concentrations. The settings of the blender knob would no longer be accurate.,GE Healthcare,"Resuscitation unit with blender, used with GE’s Giraffe and Panda infant warmers",GE Healthcare,01/2013
Undeclared milk and soy,R-Kane products Inc.,Protein Supplement,R-Kane Z PRO,01/2013
&lt;i&gt;Listeria monocytogenes&lt;/i&gt;,Whole Foods Market,"Bagels with Cream Cheese, Cream Cheese",Whole Foods,01/2013
Listeria monocytogenes,Whole Foods Market,Wild Alaskan Sockeye Salmon,Whole Catch,01/2013
Antibiotic Residue,Hartz Mountain Corporation,"Pet Treats - Hartz Chicken Chews, Oinkies, Pig Skin Twists)",Hartz,01/2013
Listeria monocytogenes,Sprouters Northwest,"Alfalfa, Clover, Brocco Sandwich Sprouts, and Spicy Sprouts.",Sprouters Northwest,01/2013
Undeclared Peanuts,Tropical Nut and Fruit Co,Chia ReCharged Stix Mix,ReCharge,01/2013
May contain spore like particulate,"Hospira, Inc.","Lactated Ringers and 5% Dextrose Injection, USP",Hospira,01/2013
&lt;i&gt;Listeria monocytogenes&lt;/i&gt;,Whole Foods Market,Alaskan Sockeye Salmon,Whole Catch,01/2013
Unapproved new drug,"D&amp;amp;S Herbals, LLC, d/b/a Freedom Trading",Dietary Supplement,Super Power,01/2013
Defect in inner lining of cans causes the cans to swell,ConAgra Foods,Tomato Sauce,Hunt&#39;s,01/2013
Metal fragments,Annie’s Inc.,Frozen pizza products,Annie&#39;s,01/2013
Listeria monocytogenes,Knott&#39;s Fine Foods Inc.,Chicken Salad Sandwiches,Knott&#39;s Fine Foods Inc.,01/2013
"Bottle of Ferrous Sulfate Tablets, 325 mg, may actually contain Meclizine HCl 25 mg tablets",Advance Pharmaceutical Inc.,"Ferrous Sulfate Tablets, 325 mg",Rugby,01/2013
Undeclared eggs,Kinnikinnick Foods,Frozen Pie Crust,Kinnikinnick,01/2013
Metal fragments,"BBU, Inc.",Bagels,"Thomas&#39;, Sara Lee, Publix and Weight Watchers",01/2013
Undeclared peanuts,Belmont Confections Inc.,Cookies &amp; cream bars and brownie bars,Dymatize Nutrition,01/2013
Contaminated with Shiga-Toxin producing &lt;i&gt;E.coli&lt;i&gt;,Homestead Creamery,Artisan Cheeses,Homestead Creamery,01/2013
Undeclared milk,"Island Delights, Inc.",Haystacks,Island Delights,01/2013
May be non-sterile,"MobiusTherapeutics, LLC",Mitomycin for solution,Mitosol,01/2013
Listeria monocytogenes,Delifish,Cold smoked fish products,"Royal Fjord, Pacific Supreme, Icy Point, more",01/2013
Unapproved antibiotics found in finished product,Milo&#39;s Kitchen,Chicken Jerky and Chicken Grillers home-style dog treats,Milo&#39;s Kitchen,01/2013
Undeclared milk,Boba Direct (BD),Flavored powders,Boba Direct (BD),01/2013
Undeclared milk,"Somersault Snack Co., LLC",Snack,Somersault,01/2013
Undeclared soy,Woodstock,Almonds,Woodstock,01/2013
"Undeclared soy, pecan, and wheat",Southwest Ice Cream Specialties,Ice Cream,ShurFine,01/2013
Listeria monocytogenes,"Giant Food Stores, LLC and Martin&#39;s Food Markets",Smoked Salmon,"Nathan&#39;s, Lascco",01/2013
Undeclared soy,ConAgra Foods,Hot Fries Snack,Andy Capp&#39;s,01/2013
Undeclared Walnuts,Gilster-Mary Lee,Brownie Mix,Food Club,01/2013
Excess copper,"ADM Alliance Nutrition, Inc.",18 Elite Lamb DC,MoorMan’s® ShowTec®,12/2012
Undeclared eggs,Kinnikinnick Foods,Frozen Pie Crust,Kinnikinnick,12/2012
Listeria monocytogenes,Delifish S.A.,Cold smoked salmon products,"Black Bear, Einstein Darn Good, Royal Fjord etc.",12/2012
"Undeclared milk, eggs and wheat",Haig’s Delicacies,"Tzatziki, Falafel, Spanakopita and Tyropita",Haig&#39;s,12/2012
Disposable T-Piece circuits used with resuscitation systems are unable to achieve maximum Peak Inspiratory Pressure (PIP) during the pre-use check out procedure.,"GE Healthcare, LLC",T-Piece Disposable Circuit Kit 10 pack; T-Piece Disposable,Giraffe and Panda Warmer T-Piece Resuscitation System,12/2012
&lt;i&gt;Under processing potential Clostridium botulinum&lt;/i&gt;.,S&amp;M INTERNATIONAL INC,Cooked salted duck eggs,Yang Sheng,12/2012
"Contain Sibutramine, an active drug ingredient not listed on label",P&amp;J TRADING,Dietary Supplements,Slimdia Revolution,12/2012
tablets may exceed the weight requirement and could exceed the label claim potency requirements for the ingredients hydrocodone bitartrate and acetaminophen,Mylan Inc.,"Hydrocodone Bitartrate and Acetaminophen Tablets, USP 10 mg/500 mg","UDL Laboratories, Inc.",12/2012
Incidents of ignition inside  oxygen cylinders that had been knocked over and subject to significant physical impact,"Praxair, Inc.",Portable oxygen cylinder units,Grab ‘n Go Vantage,12/2012
Breakage,Zimmer Spine Inc.,PEEK Ardis Inserters,Peek,12/2012
Undeclared almonds,"Udi&#39;s Healthy Foods, LLC",Granola,Udi&#39;s,12/2012
&lt;em&gt;Clostridium botulinum&lt;em/&gt;,"True Taste, LLC",Smoked Fish,"True Taste, Lowell Foods",12/2012
Burkholderia cepacia,Matrixx Initiatives,Nasal Spray,Zicam,12/2012
Unapproved new drug,"Performance Plus Marketing, Inc.",Dietary Supplement,"Libigrow XXXtreme, Blue Diamond, Blue Diamond Platinum, Mojo Nights, Mojo Nights Supreme, and Casanova",12/2012
Listeria monocytogenes,Ocean Beauty Seafoods LLC,Smoked salmon,Nathan&#39;s,12/2012
Presence of visible particulates.,"Hospira, Inc.",Carboplatin Injection,Hospira,12/2012
Listeria monocytogenes,"Taylor Farms Retail, Inc.",Romaine Lettuce,Taylor Farms,12/2012
Due to the potential of product become moldy,Claudia&#39;s Canine Cuisine,Holiday &amp; Blueberry Hound Cake for dogs,DogCandy,12/2012
Undeclared peanuts,Mister Snacks,Yogurt Raisins,Sunbird Snacks,12/2012
Undeclared Egg White,Sugar Flowers Plus Inc,Cake Decors Pastillage (gumpaste) Flowers,Cake Decors,12/2012
Listeria monocytogenes,Freshway Foods,Apples,Freshway Foods,12/2012
Tablets from the affected lots may exceed the weight requirement and could exceed the label claim potency requirements for the ingredients of hydrocodone bitartrate and acetaminophen.,Qualitest,Hydrocodone bitartrate and acetaminophen 10mg/500 mg tablets,Qualitest,12/2012
"Heater wire insulation can melt, causing sparking and smoke close to the humidifier cartridge.",Bunnell Incorporated,Ventilator Patient Circuit,Life Pulse,12/2012
Metal fragments,LifeVantage Corporation,Dietary Supplement,"Protandim, Nrf2 Synergizer",12/2012
Listeria monocytogenes,VEGGIE PATCH,Ultimate Meatless Burger and Falafel chickpea balls,VEGGIE PATCH,11/2012
Listeria monocytogenes,Stop &amp;amp; Shop Supermarket Company LLC,Meatless burgers,Veggie Patch,11/2012
"Laryngoscope blades have been found to be prone to developing cracks and/or breaking across the tip of the blade, which potentially could result in pieces of the blade breaking off in patient’s mouths and obstructing the airway or being swallowed",Verathon Inc,GVL Video Laryngoscopes reusable blades,GlideScope,11/2012
Undeclared Shrimp,Sukhi’s Gourmet Indian Foods,Red Curry with Vegetables,Sukhi’s,11/2012
May contain very small glass particles resembling a fine grain of sand (less than 1 mm in size),Ranbaxy Inc.,"Atorvastatin Calcium Tablets (10 mg, 20 mg and 40 mg)",Atorvastatin,11/2012
Presence of visible particulate matter in syringes,Bracco Diagnostics Inc.,Pre-Filled Power Injector Syringes,Isovue,11/2012
Undeclared eggs,Legendary Baking,Pies,Private Selection,11/2012
Undeclared Milk,"Newman&#39;s Own, Inc.",Lite Honey Mustard Dressing,Newman&#39;s Own,11/2012
Undeclared Pecans,Sara Lee,Butter Streusel Coffee Cake,Sara Lee,11/2012
Almonds and Pecans,Whole Foods Market,Wedding Cookies and Almondine Wedding Cookies,None,11/2012
Salmonella,Rio Queen Citrus Inc.,Mexican Cherry Tomatoes,None,11/2012
Salmonella,"Capital City Fruit, Inc.",Cherry tomatoes,Capital,11/2012
Salmonella,Carolina Prime Pet Inc.,Pet Treats - All Natural Bull Strips,Priority Total Pet Care,11/2012
Listeria monocytogenes,Michaels Gourmet Delicacies,Wild Alaskan Sockeye Salmon,Michaels Gourmet Delicacies&#39;,11/2012
Undeclared Sulphur-Dioxide,Whole Alternatives LLC,Dried Apricots and Dried Golden Raisins,Harris Teeter,11/2012
Potential to leach lead,"Focus Product Groups International, LLC",Hot drink maker,Cocoa Latte™,11/2012
Undeclared soy,Tri-Union Seafoods,Tuna fish,Chicken of the Sea,11/2012
Undeclared walnut,Whole Foods Market,Coffee,"Berres Brothers, Inc.",11/2012
Listeria monocytogenes,Publix,Cakes,Publix,11/2012
Salmonella,"Magnolia Bird Farm, Incorporated",Bird feed,"Magnolia Bird Farm, Sunland",11/2012
Possibility of a system leak resulting from improper seating of the CO2 absorbent canister gasket.,Mindray DS USA,A3/A5 Anesthesia Delivery System,Mindray,11/2012
Undeclared sulfites,Turkana Food Inc.,Dried apricots,Turkana Valley,11/2012
Salmonella,Tony’s Imports and Exports,Tahineh,AL-RABIH,11/2012
Undeclared egg and soy,Jimmy Dean,French Toast &amp; Sausage Sandwich,Jimmy Dean,11/2012
Salmonella,Boulder Ice Cream,Ice Cream and Gelato,Boulder Ice Cream,11/2012
Undeclared milk and egg,Frito-Lay,Cookies,Grandma&#39;s,11/2012
Listeria monocytogenes,Spence and Co Ltd,Nova Lox,Spence and Co Ltd,11/2012
Salmonella,Nestle USA,Chocolate Powder,NESQUIK,11/2012
&lt;i&gt;Salmonella&lt;/i&gt;,Fresh Express Incorporated,Spinach,Fresh Express,11/2012
Undeclared sulfites,"Mayflower International, Inc.",Lily Dry,Fu Xiang Yuan Trading,11/2012
Salmonella,"Omya, Inc.",Food Grade Ground Limestone,Omya,11/2012
Undeclared pecans,The Kroger Co.,Ice Cream,Kroger,11/2012
Listeria monocytogenes,Kenny&#39;s Farmhouse Cheese,Various Cheeses,Kenny&#39;s Farmhouse Cheese,11/2012
E.coli,"Wegmans Foods Markets, Inc",Spinach,Wegmans,11/2012
"Undeclared milk, soy or pecan",Raymond-Hadley,Baking Products,Wegmans,11/2012
Salmonella,Bolthouse Farms,Carrots,Bolthouse Farms,11/2012
Salmonella,Bolthouse Farms,Carrots,Farmstand and Safeway,11/2012
Salmonella,Charlee Bear Products,Dog Food,Charlee Bear,11/2012
Sterility,"Ameridose, LLC",Drugs products,Ameridose,10/2012
May contain pieces of product,"Wegmans Food Markets, Inc.",Pumkin roll,Wegmans,10/2012
Potential for interruption of therapy or over/under delivery of medication.,"Hospira, Inc.",Infusion Systems,Symbiq,10/2012
&lt;i&gt;Salmonella&lt;/i&gt;,"BT McElrath Chocolatier, Inc.",Peanut Butter Candy,BT McElrath Chocolatier,10/2012
Undeclared pecans,Schoep&#39;s Ice Cream Company,Ice Cream,Kays,10/2012
Nutritional Values,"Premium Nutritional Products, Inc.",Bird Food,ZuPreem,10/2012
Undeclared Allergens,Tropical Valley Foods,Chocolate and Trail Mix Bulk Items,Organic Appalachian Adventure Mix - Bulk; Rocky Mountain Mix - Bulk; Yellow Stone Hiking Mix - Bulk; More,10/2012
Salmonella,Bumble Bar,Bars,Gluten Free Cafe,10/2012
Intermittently turn on and off eventually depletes the battery,HeartSine Technologies LTD,Samaritan 300/300P PAD defibrillators,Samaritan,10/2012
Undeclared Sibutramine,"Zi Xiu Tang Success, LLC",Dietary supplement,Classic Zi Xiu Tang Bee Pollen and Ultimate Formula,10/2012
Salmonella,Wildwood Seed &amp; Specialties,Pet Food,Sleek and Sassy,10/2012
Foreign Objects,Rudi&#39;s Organic Bakery,Bakery Products,Rudi&#39;s,10/2012
Undeclared tree nuts,Price Chopper Supermarkets,Coffee Cake,Price Chopper,10/2012
Potential risk of product igniting on the skin if contact is made with a source of ignition before the product is completely dry,Energizer Holdings Inc.,Continuous spray sun care products,Banana Boat and Ultra Defense,10/2012
Undeclared Tree Nuts (pecans) and Milk,"Wegmans Food Markets, Inc",Gluten Free Double Chocolate Brownie Mix,Wegmans,10/2012
Undeclared almond due to mis-packaging that inadvertently contained Honey Nut Toasted Oats cereal,Gilster-Mary Lee,Fruit Whirls Cereal,Better Valu,10/2012
Salmonella,Buck&#39;s Ice Cream,Ice Cream,Iskream,10/2012
Listeria monocytogenes,Dole Fresh Vegetables,Salad,Dole,10/2012
Salmonella,Kasel Associated Industries,Pet Treats,Boots &amp; Barkley,10/2012
Salmonella,"Torn and Glasser, Inc.","Peanuts, Peanut Butter","Gless Ranch, Sun Harvest, Torn and Glasser, Sprouts",10/2012
Undeclared Soy,Publix Super Markets,Frozen Shrimp,Publix,10/2012
Salmonella,Trifecta Foods LLC,Peanuts,"Fresh Pak, Energy Club",10/2012
Have been found to potentially deliver little to no air/oxygen through the patient valve to the patient,Ventlab Corporation,Manual resuscitators,Ventlab Corporation,10/2012
Salmonella,Mondelez Global LLC,Candy,Green &amp; Black&#39;s,10/2012
Salmonella,Hines Nut Company,In-shell Peanuts,"Hines, Dollar General",10/2012
Undeclared milk,Raymond-Hadley Corp.,Brownie Mix,Wegmans,10/2012
Salmonella,Natural Selection Foods,Salad Kit,Earthbound Farm,10/2012
Salmonella,Del Monte Foods,Pet Treat,Nature&#39;s Recipe,10/2012
Salmonella,"Creative Energy Foods, Inc. (CEF)",Nutrition bars which may contain blanched roasted peanuts,Crunch thinkThin,10/2012
Salmonella,"Creative Energy Foods, Inc. (CEF)",Nutrition bars which contain blanched roasted peanuts,Ridgebar,10/2012
Salmonella,"S&amp;P Company, Limited",Thai Red Pepper,Su-nun,10/2012
"Undeclared eggs, milk, peanuts, tree nuts, wheat, and soy",Hannaford Supermarkets,Cake Truffles,Hannaford Supermarkets,10/2012
Salmonella,"Lin-Mar Partners, Inc.","Energy Bar, Protein Bar",Longhorn Bars,10/2012
&lt;i&gt;Salmonella&lt;/i&gt;,JagRma LLC,Nut Butter,NuttZo,10/2012
Salmonella,"Sunland, Inc.",In-shell and Shelled Peanuts,"Sunland, Natural Value, Treasured Harvest, more",10/2012
Salmonella,Oregon Ice Cream Company,Ice Cream,"Aldens Organic, Cascade Glacier",10/2012
Salmonella,Velvet Ice Cream,Ice Cream,Velvet,10/2012
Salmonella,Justin&#39;s,Peanut Butter Products,Justin&#39;s,10/2012
Salmonella,Fresh Express Incorporated,Romaine Salad,Fresh Express,10/2012
Salmonella,AdvancePierre Foods,Peanut Butter Products,AdvancePierre,10/2012
Salmonella,"PureFit, Inc.",Peanut Butter Bars,PureFit,10/2012
Salmonella,Super Store Industries,Ice Cream,Lovin&#39; Scoopful,10/2012
Salmonella,"Dean Foods Company, Meadow Gold Dairy",Ice Cream,Albertsons,10/2012
&lt;i&gt;Salmonella&lt;/i&gt;,"Chattanooga Bakery, Inc.",Snack,MoonPie,10/2012
Salmonella,Nina International,Ground Hot Pepper,Nina International,10/2012
Listeria monocytogenes,"Four Seasons Dairy, Inc.",Herring,Four Seasons Dairy,10/2012
Salmonella,Meadow Gold Dairy,Ice Cream,Western Family,10/2012
Salmonella,"TBD Brands, LLC",Pet Treat,Yoghund,10/2012
Salmonella,"Bliss Unlimited, LLC",Peanut Butter Dessert,Luna &amp; Larry&#39;s,10/2012
Salmonella,Belfonte Ice Cream &amp; Dairy Foods Company,Ice Cream,Belfonte,10/2012
Salmonella,Clemmy&#39;s Ice Cream,Ice Cream,Clemmy&#39;s,10/2012
Salmonella,BGC Manufacturing,Ice Cream,Goldenbrook Farms,10/2012
Salmonella,General Mills,Snack bars,Cascadian Farm,10/2012
Salmonella,Rich Products Corporation,Peanut Butter Dessert,"Jon Donaire, TCBY",10/2012
Salmonella,Smith Dairy Products Company,Ice Cream,"Smith&#39;s, Acme, Ruggles",10/2012
Salmonella,Toft Dairy,Ice Cream,Toft&#39;s,10/2012
Salmonella,"Harry and David , LLC","Crunchy Almond &amp; Peanut Butter,Banana Peanut Spread and More",Harry and David; Wolferman&#39;s,10/2012
Salmonella,"Kilwins Quality Confections, Inc.",Sugar free peanut butter fudge,Kilwins,10/2012
"Thin layer of plastic film from the package may remain adhered to the string cheese, which could cause a choking hazard",Kraft Foods Group,Jalapeno variety of string cheese,Kraft,10/2012
Metal fragments,Kellogg&#39;s,Cereal,Kellogg&#39;s Mini-Wheats,10/2012
Salmonella,"Falcon Trading Company, Inc. - SunRidge Farms",Peanut Butter Products,Sunridge,10/2012
Salmonella,Flying Food Group,Bistro Box,Starbucks,10/2012
Sterility; linkage to meningitis outbreak,New England Compounding Center (NECC),"Methylprednisolone Acetate, Betamethasone, Bupivicaine, more",NECC,10/2012
Listeria monocytogenes,Whole Foods Market,Cheeses,Kenny&#39;s Farmhouse,10/2012
Salmonella,Gretchen’s Shoebox Express,Protein Bistro Box,Starbucks,10/2012
Undeclared milk allergen,Baensch Food Products Co.,Marinated herring in wine sauce,Ma Baensch,10/2012
Container Leak and mold contamination,"Hospira, Inc.",Lactated Ringer’s and 5% Dextrose,"Hospira, Inc.",10/2012
Salmonella,Talenti Gelato,Chocolate Peanut Butter Cup Gelato,Talenti,10/2012
Salmonella,Sunland Inc.,"Flavored butters, spreads and more.","American Choice, Archer Farms, Arrowhead Mills and more",10/2012
Flowmeters have been found to release Nitrous Oxide gas when the Oxygen is turned off.,"Accutron, Inc.",Ultra PC% Cabinet Mount Flowmeters,"Accutron, Inc.",10/2012
The fish is uneviscerated and may pose a Clostridium botulinum hazard.,KRASNYI OKTYABR,Beer Set Dried Rudd,KRASNYI OKTYABR,10/2012
Listeria monocytogenes,Whole Foods Market,Cheese,Ricotta Salata Frescolina &amp; Mitica Ricotta Salada,10/2012
May be contaminated with Salmonella,Kasel Associated Industries,Chicken Jerky Dog Treats,Nature&#39;s Deli,10/2012
"Undeclared shellfish, milk",Whole Foods Market,Roasted Garlic and Eggplant Soup,Whole Foods Market Kitchens,10/2012
