index,reason,company,product_descrpition,brand_name,date,url
25,http://www.fda.gov/Safety/Recalls/ucm344786.htm,Clinical Specialties Compounding Pharmacy,"Acetylcysteine 10% solution, Cyclosporine 1% ophthalmic drops, Dexamethasone NaPo4 12 mg/ml, more",Clinical Specialties,Lack of sterility assurance,03/2013
26,http://www.fda.gov/Safety/Recalls/ucm344782.htm,"New Chapter, Inc.",Dietary Supplement,New Chapter,Undeclared Soy,03/2013
27,http://www.fda.gov/Safety/Recalls/ucm344657.htm,Daesang America Inc.,Soy Bean Paste,Daesang,Undeclared Peanuts,03/2013
28,http://www.fda.gov/Safety/Recalls/ucm344377.htm,Clinical Specialties,Avastin unit dose syringes,Avastin,The product has or potentially could result in an infection within the eye,03/2013
29,http://www.fda.gov/Safety/Recalls/ucm344353.htm,"Pro-Amino International Inc., Saint-Eustache, Quebec, Canada",High Protein Chocolate Dream Bars,ProtiDiet,May contain Salmonella,03/2013
30,http://www.fda.gov/Safety/Recalls/ucm344421.htm,Natura Pet Products,Pet Food,"California Natural, EVO, Healthwise, Innova",Salmonella,03/2013
31,http://www.fda.gov/Safety/Recalls/ucm344229.htm,"Med Prep Consulting, Inc.",All compounded products,"Med Prep Consulting, Inc.",DUE TO POTENTIAL MOLD CONTAMINATION,03/2013
32,http://www.fda.gov/Safety/Recalls/ucm344189.htm,"Med Prep Consulting, Inc.","MAGNESIUM SULFATE 2GM IN DEXTROSE 5 PERCENT IN WATER, 50 ml FOR INJECTION","Med Prep Consulting, Inc",Contain visible particulate contaminants confirmed to be mold,03/2013
33,http://www.fda.gov/Safety/Recalls/ucm344019.htm,"Vascular Solutions Zerusa Ltd subsidiary of Vascular Solutions, Inc.",Hemostasis valves used in catheterization procedures,Guardian II and Guardian II NC,"Pose a slightly increased risk of air leakage that may lead to an air embolism, which could result in serious injury or death",03/2013
34,http://www.fda.gov/Safety/Recalls/ucm344017.htm,Nishimoto Trading Co.,Rice Cracker &quot;Kotsubukko&quot;,Kameda,Undeclared milk,03/2013
35,http://www.fda.gov/Safety/Recalls/ucm344009.htm,"Grippo Foods, Inc",Potato Chips (various flavors),Grippo&#39;s,Potential to contain metal fragments,03/2013
36,http://www.fda.gov/Safety/Recalls/ucm343716.htm,Bravo!,Chicken Blend-Raw Frozen Food Diet for Dogs and Cats,Bravo!,Potential to be contaminated with Salmonella,03/2013
37,http://www.fda.gov/Safety/Recalls/ucm343216.htm,"Green Planet, Inc.",Dietary supplement,Night Bullet,Product contains trace amounts of Sulfohydroxyhomosildenafil and Aminotadalafil.,03/2013
38,http://www.fda.gov/Safety/Recalls/ucm344732.htm,La Preferida Inc.,Canned Pinto beans,La Preferida,Spoilage organisms or Pathogens,03/2013
39,http://www.fda.gov/Safety/Recalls/ucm343084.htm,Diamond Pet Foods,Dry Cat Food,"Premium Edge, Diamond Naturals, 4health",Low level of thiamine (Vitamin B1),03/2013
40,http://www.fda.gov/Safety/Recalls/ucm342911.htm,"Tri-Union Seafoods, LLC",Canned tuna,Chicken of the Sea,Can seams do not meet standard,03/2013
41,http://www.fda.gov/Safety/Recalls/ucm342851.htm,"Bumble Bee Foods, LLC",Canned tuna,"Bumble Bee, Brunswick",Loose can seals,03/2013
42,http://www.fda.gov/Safety/Recalls/ucm342968.htm,Diggin&#39; Your Dog,Pet Treats,Strippin&#39; Chicks,Salmonella,03/2013
43,http://www.fda.gov/Safety/Recalls/ucm342902.htm,Steve&#39;s Real Food,Frozen pet food,Steve&#39;s Real Food,Salmonella,03/2013
44,http://www.fda.gov/Safety/Recalls/ucm342650.htm,Tri-Union Seafoods LLC,Canned tuna,Chicken of the Sea,Seal quality out of specification,03/2013
45,http://www.fda.gov/Safety/Recalls/ucm342592.htm,"Bumble Bee Foods, LLC",Canned tuna,"Bumble Bee, Brunswick",Loose can seals,03/2013
46,http://www.fda.gov/Safety/Recalls/ucm345009.htm,Jones Natural Chews Co,Woofers (beef patties) dog treats,Jones Natural Chews Co,Salmonella,03/2013
47,http://www.fda.gov/Safety/Recalls/ucm342537.htm,Cargill,Animal feed,"Cattle Grazers, Right Now, Nutrena","Deficient in vitamin A, D, and E",03/2013
48,http://www.fda.gov/Safety/Recalls/ucm342025.htm,"Food For Life Baking Co., Inc.",Variety of Sprouted Whole Grain Cereals,Food for Life,Undeclared Almonds,03/2013
49,http://www.fda.gov/Safety/Recalls/ucm342034.htm,"See’s Candies, Inc.",Easter Egg with Walnuts,See&#39;s Candies,Undeclared Peanuts,02/2013
50,http://www.fda.gov/Safety/Recalls/ucm341527.htm,"United Pet Group, Inc.",Bird Food,"Ultra-Blend Gourmet, eCotrition",Salmonella,02/2013
51,http://www.fda.gov/Safety/Recalls/ucm341680.htm,Ad-Tech Medical Instrument Corporation,Macro Micro Subdural Electrodes,Ad-Tech Medical Instrument Corporation,Potential for abrasion,02/2013
52,http://www.fda.gov/Safety/Recalls/ucm342413.htm,The Kroger Co.,Bread,"Kroger, QFC, Fred Meyer",Foreign object,02/2013
53,http://www.fda.gov/Safety/Recalls/ucm341348.htm,"Domega NY International Co., Ltd.",White Melon Seeds,Green Day,Undeclared sulfites,02/2013
54,http://www.fda.gov/Safety/Recalls/ucm340892.htm,Bruce Foods Corporation,Sauce,Food Club,Undeclared wheat and soy,02/2013
55,http://www.fda.gov/Safety/Recalls/ucm340893.htm,"Affymax, Inc. and Takeda Pharmaceutical Company Limited",OMONTYS&amp;reg; (peginesatide) Injection,OMONTYS&amp;reg;,"Serious hypersensitivity reactions, including anaphylaxis",02/2013
56,http://www.fda.gov/Safety/Recalls/ucm340872.htm,"King Arthur Flour Company, Inc.",Flour,King Arthur Flour,Presence of a foreign object,02/2013
57,http://www.fda.gov/Safety/Recalls/ucm340723.htm,Bruce Foods Corporation,Sauce,Food Club,Undeclared wheat and soy,02/2013
58,http://www.fda.gov/Safety/Recalls/ucm340886.htm,Herbalife International of America,Nutritional shake,Herbalife,Undeclared milk,02/2013
59,http://www.fda.gov/Safety/Recalls/ucm341338.htm,Lion Pavilion Ltd.,Ginger Slices,Grassplot,Undeclared sulfites,02/2013
60,http://www.fda.gov/Safety/Recalls/ucm340891.htm,"Hy-Vee, Inc.",Dog Food,Hy-Vee,Elevated levels of a chemical contaminant,02/2013
61,http://www.fda.gov/Safety/Recalls/ucm340676.htm,Mondelēz Global LLC,Biscuits,BelVita,Metal fragments,02/2013
62,http://www.fda.gov/Safety/Recalls/ucm340637.htm,Mandy Star Trading Inc.,Preserved fruits,Good Taste,Undeclared Sulfites,02/2013
63,http://www.fda.gov/Safety/Recalls/ucm340552.htm,Kasel Associated Industries,Dog Treats,"Colorado Natural’s, Boots &amp; Barkley, Nature’s Deli, more",Salmonella,02/2013
64,http://www.fda.gov/Safety/Recalls/ucm340669.htm,The Honest Kitchen,Pet food products,"Verve, Zeal, Thrive",Salmonella,02/2013
65,http://www.fda.gov/Safety/Recalls/ucm340921.htm,Olaax Corporation,Dietary Supplement,Maxiloss Weight Advanced,Unapproved new drug,02/2013
66,http://www.fda.gov/Safety/Recalls/ucm340468.htm,"Nutri-Vet, LLC",Pet Treats,"NutriPet, Nutri-Vet",Salmonella,02/2013
67,http://www.fda.gov/Safety/Recalls/ucm340717.htm,Heartland Brands,Granola cereal,Heartland,Metal fragments,02/2013
68,http://www.fda.gov/Safety/Recalls/ucm340245.htm,"BBU, Inc.",Bread,"Sara Lee, Aldi, Harmons, Arnold, more",Foreign object,02/2013
69,http://www.fda.gov/Safety/Recalls/ucm340337.htm,Kasel Associated Industries,Dog Treats,"Colorado Natural’s, Boots &amp; Barkley, Nature’s Deli, more",Salmonella,02/2013
70,http://www.fda.gov/Safety/Recalls/ucm340596.htm,Kaytee Products,Bird treats,Kaytee,Salmonella,02/2013
71,http://www.fda.gov/Safety/Recalls/ucm340644.htm,Goldcoast Salads,"Crab, lobster, tuna, shrimp and salmon spreads",Goldcoast Salads,Listeria monocytogenes,02/2013
72,http://www.fda.gov/Safety/Recalls/ucm340091.htm,Gilead Sciences Inc.,cidofovir injection,Vistide,Particulate matter,02/2013
73,http://www.fda.gov/Safety/Recalls/ucm340084.htm,"DeCoty Coffee Company, Inc.",Taco Seasoning,DeCoty,Undeclared soy,02/2013
74,http://www.fda.gov/Safety/Recalls/ucm340075.htm,Nature&#39;s Variety,Pet food,Instinct® Raw,Plastic pieces,02/2013
75,http://www.fda.gov/Safety/Recalls/ucm340161.htm,"Reumofan Plus USA, LLC  and Reumofan USA, LLC",Tablets,Reumofan Plus,"Tablets contain undeclared active pharmaceutical ingredients: methocarbamol, dexamethasone, and diclofenac",02/2013
76,http://www.fda.gov/Safety/Recalls/ucm340045.htm,The Muffin &amp;quot;Mam&amp;quot; Inc.,Cake,The Muffin &quot;Mam&quot;,Undeclared egg,02/2013
77,http://www.fda.gov/Safety/Recalls/ucm339904.htm,"JS Pelmini OK, Inc.",Potato dumplings,JS Pelmini,Undeclared milk and soy,02/2013
78,http://www.fda.gov/Safety/Recalls/ucm340879.htm,Dakota Specialty Milling,Specialty flours and grain blends,Dakota Specialty Milling,Due to the possible presence of fragments of thin metal wire,02/2013
79,http://www.fda.gov/Safety/Recalls/ucm339891.htm,"Associated Milk Producers, Inc.",Pudding,GFS,Undeclared milk,02/2013
80,http://www.fda.gov/Safety/Recalls/ucm339754.htm,"Domega NY International CO., LTD",Dried Coconut,Green Day,Undeclared sulfites,02/2013
81,http://www.fda.gov/Safety/Recalls/ucm339341.htm,"DZH Import &amp;amp; Export, Inc.",Dried Mushrooms,Mountains,Undeclared sulfites,02/2013
82,http://www.fda.gov/Safety/Recalls/ucm338978.htm,DZH Import &amp; Export Inc.,Dried Mushrooms,Curiosity of Dashan,Undeclared sulfites,02/2013
83,http://www.fda.gov/Safety/Recalls/ucm339140.htm,Nestle Prepared Foods Company,Ravioli,Lean Cuisine,Glass fragments,02/2013
84,http://www.fda.gov/Safety/Recalls/ucm338741.htm,Sprouters Northwest,"Sprout products, wheatgrass and pea shoots","Sprouters Northwest, LifeForce and Brassica",&lt;i&gt;Listeria monocytogenes&lt;/i&gt;,02/2013
85,http://www.fda.gov/Safety/Recalls/ucm339735.htm,ZIP International Group LLC,Dry salted fish,ZIP International Group,Uneviscerated fish,02/2013
86,http://www.fda.gov/Safety/Recalls/ucm340249.htm,MKG Provisions,Atlantic Smoked Salmon,"UpRiver, Prestige &amp; Legendary",Potential to be contaminated with &lt;i&gt;Listeria monocytogenes&lt;/i&gt;,02/2013
87,http://www.fda.gov/Safety/Recalls/ucm338374.htm,"Domega NY International Co., Ltd.",Dried coconut,Green Day,Undeclared sulfites,02/2013
88,http://www.fda.gov/Safety/Recalls/ucm337785.htm,Sprouters Northwest,"Sprouts, Wheatgrass, and Pea Shoots",Sprouters Northwest and LifeForce,Listeria monocytogenes,02/2013
89,http://www.fda.gov/Safety/Recalls/ucm338606.htm,GoldCoast Salads,Blue crab spread,GoldCoast Salads,&lt;i&gt;Listeria monocytogenes&lt;/i&gt;,02/2013
90,http://www.fda.gov/Safety/Recalls/ucm337603.htm,GE Healthcare,"Resuscitation unit with blender, used with GE’s Giraffe and Panda infant warmers",GE Healthcare,Potential of a reverse in the air/oxygen mixer concentrations. The settings of the blender knob would no longer be accurate.,01/2013
91,http://www.fda.gov/Safety/Recalls/ucm337837.htm,R-Kane products Inc.,Protein Supplement,R-Kane Z PRO,Undeclared milk and soy,01/2013
92,http://www.fda.gov/Safety/Recalls/ucm337723.htm,Whole Foods Market,"Bagels with Cream Cheese, Cream Cheese",Whole Foods,&lt;i&gt;Listeria monocytogenes&lt;/i&gt;,01/2013
93,http://www.fda.gov/Safety/Recalls/ucm337382.htm,Whole Foods Market,Wild Alaskan Sockeye Salmon,Whole Catch,Listeria monocytogenes,01/2013
94,http://www.fda.gov/Safety/Recalls/ucm337102.htm,Hartz Mountain Corporation,"Pet Treats - Hartz Chicken Chews, Oinkies, Pig Skin Twists)",Hartz,Antibiotic Residue,01/2013
95,http://www.fda.gov/Safety/Recalls/ucm337098.htm,Sprouters Northwest,"Alfalfa, Clover, Brocco Sandwich Sprouts, and Spicy Sprouts.",Sprouters Northwest,Listeria monocytogenes,01/2013
96,http://www.fda.gov/Safety/Recalls/ucm337780.htm,Tropical Nut and Fruit Co,Chia ReCharged Stix Mix,ReCharge,Undeclared Peanuts,01/2013
97,http://www.fda.gov/Safety/Recalls/ucm336959.htm,"Hospira, Inc.","Lactated Ringers and 5% Dextrose Injection, USP",Hospira,May contain spore like particulate,01/2013
98,http://www.fda.gov/Safety/Recalls/ucm336951.htm,Whole Foods Market,Alaskan Sockeye Salmon,Whole Catch,&lt;i&gt;Listeria monocytogenes&lt;/i&gt;,01/2013
99,http://www.fda.gov/Safety/Recalls/ucm337019.htm,"D&amp;amp;S Herbals, LLC, d/b/a Freedom Trading",Dietary Supplement,Super Power,Unapproved new drug,01/2013
100,http://www.fda.gov/Safety/Recalls/ucm336632.htm,ConAgra Foods,Tomato Sauce,Hunt&#39;s,Defect in inner lining of cans causes the cans to swell,01/2013
101,http://www.fda.gov/Safety/Recalls/ucm336376.htm,Annie’s Inc.,Frozen pizza products,Annie&#39;s,Metal fragments,01/2013
102,http://www.fda.gov/Safety/Recalls/ucm336282.htm,Knott&#39;s Fine Foods Inc.,Chicken Salad Sandwiches,Knott&#39;s Fine Foods Inc.,Listeria monocytogenes,01/2013
103,http://www.fda.gov/Safety/Recalls/ucm336107.htm,Advance Pharmaceutical Inc.,"Ferrous Sulfate Tablets, 325 mg",Rugby,"Bottle of Ferrous Sulfate Tablets, 325 mg, may actually contain Meclizine HCl 25 mg tablets",01/2013
104,http://www.fda.gov/Safety/Recalls/ucm336104.htm,Kinnikinnick Foods,Frozen Pie Crust,Kinnikinnick,Undeclared eggs,01/2013
105,http://www.fda.gov/Safety/Recalls/ucm336565.htm,"BBU, Inc.",Bagels,"Thomas&#39;, Sara Lee, Publix and Weight Watchers",Metal fragments,01/2013
106,http://www.fda.gov/Safety/Recalls/ucm335747.htm,Belmont Confections Inc.,Cookies &amp; cream bars and brownie bars,Dymatize Nutrition,Undeclared peanuts,01/2013
107,http://www.fda.gov/Safety/Recalls/ucm335682.htm,Homestead Creamery,Artisan Cheeses,Homestead Creamery,Contaminated with Shiga-Toxin producing &lt;i&gt;E.coli&lt;i&gt;,01/2013
108,http://www.fda.gov/Safety/Recalls/ucm335232.htm,"Island Delights, Inc.",Haystacks,Island Delights,Undeclared milk,01/2013
109,http://www.fda.gov/Safety/Recalls/ucm335055.htm,"MobiusTherapeutics, LLC",Mitomycin for solution,Mitosol,May be non-sterile,01/2013
110,http://www.fda.gov/Safety/Recalls/ucm334956.htm,Delifish,Cold smoked fish products,"Royal Fjord, Pacific Supreme, Icy Point, more",Listeria monocytogenes,01/2013
111,http://www.fda.gov/Safety/Recalls/ucm335621.htm,Milo&#39;s Kitchen,Chicken Jerky and Chicken Grillers home-style dog treats,Milo&#39;s Kitchen,Unapproved antibiotics found in finished product,01/2013
112,http://www.fda.gov/Safety/Recalls/ucm335717.htm,Boba Direct (BD),Flavored powders,Boba Direct (BD),Undeclared milk,01/2013
113,http://www.fda.gov/Safety/Recalls/ucm334631.htm,"Somersault Snack Co., LLC",Snack,Somersault,Undeclared milk,01/2013
114,http://www.fda.gov/Safety/Recalls/ucm334689.htm,Woodstock,Almonds,Woodstock,Undeclared soy,01/2013
115,http://www.fda.gov/Safety/Recalls/ucm334440.htm,Southwest Ice Cream Specialties,Ice Cream,ShurFine,"Undeclared soy, pecan, and wheat",01/2013
116,http://www.fda.gov/Safety/Recalls/ucm335112.htm,"Giant Food Stores, LLC and Martin&#39;s Food Markets",Smoked Salmon,"Nathan&#39;s, Lascco",Listeria monocytogenes,01/2013
117,http://www.fda.gov/Safety/Recalls/ucm334243.htm,ConAgra Foods,Hot Fries Snack,Andy Capp&#39;s,Undeclared soy,01/2013
118,http://www.fda.gov/Safety/Recalls/ucm334104.htm,Gilster-Mary Lee,Brownie Mix,Food Club,Undeclared Walnuts,01/2013
119,http://www.fda.gov/Safety/Recalls/ucm333676.htm,"ADM Alliance Nutrition, Inc.",18 Elite Lamb DC,MoorMan’s® ShowTec®,Excess copper,12/2012
120,http://www.fda.gov/Safety/Recalls/ucm333877.htm,Kinnikinnick Foods,Frozen Pie Crust,Kinnikinnick,Undeclared eggs,12/2012
121,http://www.fda.gov/Safety/Recalls/ucm333681.htm,Delifish S.A.,Cold smoked salmon products,"Black Bear, Einstein Darn Good, Royal Fjord etc.",Listeria monocytogenes,12/2012
122,http://www.fda.gov/Safety/Recalls/ucm333428.htm,Haig’s Delicacies,"Tzatziki, Falafel, Spanakopita and Tyropita",Haig&#39;s,"Undeclared milk, eggs and wheat",12/2012
123,http://www.fda.gov/Safety/Recalls/ucm333442.htm,"GE Healthcare, LLC",T-Piece Disposable Circuit Kit 10 pack; T-Piece Disposable,Giraffe and Panda Warmer T-Piece Resuscitation System,Disposable T-Piece circuits used with resuscitation systems are unable to achieve maximum Peak Inspiratory Pressure (PIP) during the pre-use check out procedure.,12/2012
124,http://www.fda.gov/Safety/Recalls/ucm333236.htm,S&amp;M INTERNATIONAL INC,Cooked salted duck eggs,Yang Sheng,&lt;i&gt;Under processing potential Clostridium botulinum&lt;/i&gt;.,12/2012
125,http://www.fda.gov/Safety/Recalls/ucm333178.htm,P&amp;J TRADING,Dietary Supplements,Slimdia Revolution,"Contain Sibutramine, an active drug ingredient not listed on label",12/2012
126,http://www.fda.gov/Safety/Recalls/ucm333153.htm,Mylan Inc.,"Hydrocodone Bitartrate and Acetaminophen Tablets, USP 10 mg/500 mg","UDL Laboratories, Inc.",tablets may exceed the weight requirement and could exceed the label claim potency requirements for the ingredients hydrocodone bitartrate and acetaminophen,12/2012
127,http://www.fda.gov/Safety/Recalls/ucm333189.htm,"Praxair, Inc.",Portable oxygen cylinder units,Grab ‘n Go Vantage,Incidents of ignition inside  oxygen cylinders that had been knocked over and subject to significant physical impact,12/2012
128,http://www.fda.gov/Safety/Recalls/ucm333093.htm,Zimmer Spine Inc.,PEEK Ardis Inserters,Peek,Breakage,12/2012
129,http://www.fda.gov/Safety/Recalls/ucm332915.htm,"Udi&#39;s Healthy Foods, LLC",Granola,Udi&#39;s,Undeclared almonds,12/2012
130,http://www.fda.gov/Safety/Recalls/ucm332784.htm,"True Taste, LLC",Smoked Fish,"True Taste, Lowell Foods",&lt;em&gt;Clostridium botulinum&lt;em/&gt;,12/2012
131,http://www.fda.gov/Safety/Recalls/ucm332787.htm,Matrixx Initiatives,Nasal Spray,Zicam,Burkholderia cepacia,12/2012
132,http://www.fda.gov/Safety/Recalls/ucm332697.htm,"Performance Plus Marketing, Inc.",Dietary Supplement,"Libigrow XXXtreme, Blue Diamond, Blue Diamond Platinum, Mojo Nights, Mojo Nights Supreme, and Casanova",Unapproved new drug,12/2012
133,http://www.fda.gov/Safety/Recalls/ucm332354.htm,Ocean Beauty Seafoods LLC,Smoked salmon,Nathan&#39;s,Listeria monocytogenes,12/2012
134,http://www.fda.gov/Safety/Recalls/ucm332353.htm,"Hospira, Inc.",Carboplatin Injection,Hospira,Presence of visible particulates.,12/2012
135,http://www.fda.gov/Safety/Recalls/ucm332108.htm,"Taylor Farms Retail, Inc.",Romaine Lettuce,Taylor Farms,Listeria monocytogenes,12/2012
136,http://www.fda.gov/Safety/Recalls/ucm332004.htm,Claudia&#39;s Canine Cuisine,Holiday &amp; Blueberry Hound Cake for dogs,DogCandy,Due to the potential of product become moldy,12/2012
137,http://www.fda.gov/Safety/Recalls/ucm331584.htm,Mister Snacks,Yogurt Raisins,Sunbird Snacks,Undeclared peanuts,12/2012
138,http://www.fda.gov/Safety/Recalls/ucm331413.htm,Sugar Flowers Plus Inc,Cake Decors Pastillage (gumpaste) Flowers,Cake Decors,Undeclared Egg White,12/2012
139,http://www.fda.gov/Safety/Recalls/ucm331564.htm,Freshway Foods,Apples,Freshway Foods,Listeria monocytogenes,12/2012
140,http://www.fda.gov/Safety/Recalls/ucm331218.htm,Qualitest,Hydrocodone bitartrate and acetaminophen 10mg/500 mg tablets,Qualitest,Tablets from the affected lots may exceed the weight requirement and could exceed the label claim potency requirements for the ingredients of hydrocodone bitartrate and acetaminophen.,12/2012
141,http://www.fda.gov/Safety/Recalls/ucm330842.htm,Bunnell Incorporated,Ventilator Patient Circuit,Life Pulse,"Heater wire insulation can melt, causing sparking and smoke close to the humidifier cartridge.",12/2012
142,http://www.fda.gov/Safety/Recalls/ucm331258.htm,LifeVantage Corporation,Dietary Supplement,"Protandim, Nrf2 Synergizer",Metal fragments,12/2012
143,http://www.fda.gov/Safety/Recalls/ucm330342.htm,VEGGIE PATCH,Ultimate Meatless Burger and Falafel chickpea balls,VEGGIE PATCH,Listeria monocytogenes,11/2012
144,http://www.fda.gov/Safety/Recalls/ucm330625.htm,Stop &amp;amp; Shop Supermarket Company LLC,Meatless burgers,Veggie Patch,Listeria monocytogenes,11/2012
145,http://www.fda.gov/Safety/Recalls/ucm330305.htm,Verathon Inc,GVL Video Laryngoscopes reusable blades,GlideScope,"Laryngoscope blades have been found to be prone to developing cracks and/or breaking across the tip of the blade, which potentially could result in pieces of the blade breaking off in patient’s mouths and obstructing the airway or being swallowed",11/2012
146,http://www.fda.gov/Safety/Recalls/ucm329969.htm,Sukhi’s Gourmet Indian Foods,Red Curry with Vegetables,Sukhi’s,Undeclared Shrimp,11/2012
147,http://www.fda.gov/Safety/Recalls/ucm329866.htm,Ranbaxy Inc.,"Atorvastatin Calcium Tablets (10 mg, 20 mg and 40 mg)",Atorvastatin,May contain very small glass particles resembling a fine grain of sand (less than 1 mm in size),11/2012
148,http://www.fda.gov/Safety/Recalls/ucm329740.htm,Bracco Diagnostics Inc.,Pre-Filled Power Injector Syringes,Isovue,Presence of visible particulate matter in syringes,11/2012
149,http://www.fda.gov/Safety/Recalls/ucm329274.htm,Legendary Baking,Pies,Private Selection,Undeclared eggs,11/2012
150,http://www.fda.gov/Safety/Recalls/ucm329277.htm,"Newman&#39;s Own, Inc.",Lite Honey Mustard Dressing,Newman&#39;s Own,Undeclared Milk,11/2012
151,http://www.fda.gov/Safety/Recalls/ucm329216.htm,Sara Lee,Butter Streusel Coffee Cake,Sara Lee,Undeclared Pecans,11/2012
152,http://www.fda.gov/Safety/Recalls/ucm329021.htm,Whole Foods Market,Wedding Cookies and Almondine Wedding Cookies,None,Almonds and Pecans,11/2012
153,http://www.fda.gov/Safety/Recalls/ucm329212.htm,Rio Queen Citrus Inc.,Mexican Cherry Tomatoes,None,Salmonella,11/2012
154,http://www.fda.gov/Safety/Recalls/ucm329431.htm,"Capital City Fruit, Inc.",Cherry tomatoes,Capital,Salmonella,11/2012
155,http://www.fda.gov/Safety/Recalls/ucm329165.htm,Carolina Prime Pet Inc.,Pet Treats - All Natural Bull Strips,Priority Total Pet Care,Salmonella,11/2012
156,http://www.fda.gov/Safety/Recalls/ucm328996.htm,Michaels Gourmet Delicacies,Wild Alaskan Sockeye Salmon,Michaels Gourmet Delicacies&#39;,Listeria monocytogenes,11/2012
157,http://www.fda.gov/Safety/Recalls/ucm329019.htm,Whole Alternatives LLC,Dried Apricots and Dried Golden Raisins,Harris Teeter,Undeclared Sulphur-Dioxide,11/2012
